.   01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99  
.  +---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
01 | 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 |
02 | 0  1  4  36  1  12  24  1  12  1  12  2  8  1  1  1  180  1  24  418  1  36  1  132  6  1  8  1  1  30  1  2  1  24  2  1  4  2  165  11  1  66  1  4  4  1800  8  2  600  1  38  38  57  2  1  2  72  1  4  1287  12  6  12  1  110  4  24  1064  1  1  6  2  110  22  1  1  99  1  72  1  2340  11  1  1  1  1  330  4  80  8  1  18  2  10  1  1  1  20  0 |
03 | 0  12  1  12  8  1  4  1  4  360  2  8  540  1  40  80  6  4  12  1  4200  2  2  6  2  100  1  32  12  1  8  2  16  2  2  1  1  6  2  2  28  50184  4  4  240  2  2  3024  20  4  63  4  4  882  1  8  6  4  4  12  1  4  756  20020  20  1  8  2  1260  126  2  2  1  8  1  1  12  800  5040  8  20  2  8  4  320  80  1  200  2  252  1  4  2  8  2  32  1  20  0 |
04 | 0  1  4  24  1  1  2  1  312  1  156  1  2  6  1  2  240  1  2808  52  26  117  3  16  117  1275  1  510  1  78  117  117  39  1  7140  78  1  24  78  1  8  1  1  2  2  374  48  1  16  1  1  3  2  1  459  39  117  3  10080  52  1  8  8  2275  918  1  4  6  156  1  78  2856  52  714  153  102  1  2  15  624  1700  2  1344  78  1  1  432  8  1  2  2  1  60  1  168  12  12  1  0 |
05 | 0  1  1  6  16  1  2  12  1  4  1  1  864  1  4  1  6912  8  2  432  2  1  1  1  4  1  6  4  1  1  2  12  52  1  2312  952  3  144  1  24  1  48  4  8  1  1020  1  4  48  1  4  1632  36  1  8  2720  3  1008  1  16  1  1  1904  1  1  792  2  1  648  1  1  1  1152  8  1  4  12  10  240  16  4  2448  1  1  8  128  1  4  2  224  1  32  1  1  2  192  16  1  0 |
06 | 0  9  4  1  8  4  1890  35  1  84  2  2  189  2  42  12  5  1  20250  2  2  1  140  1125  14  14  1  1  2  450  225  1  1  105  1  28  5  14  14  1  1  6  48510  35  84  1  16  1  2  5  1320  66  2  42  7  7  1  42  14  2  2970  1  4  2  1  330  320  420  90  1  4  1  4  70  540  1  600  1  1260  28  1  1  3  4  1680  1  168  105  3  1  525  1  60  3  28  4  1  30  0 |
07 | 0  1  2  18  1  1  1  4  1  36  1  24  4  48048  672  1  2  12  2  1  1  3528  1  2  1  1  120  2520  1  4  75600  504  4  1  16  1  2  1008  1  1  1  2  1  1  4704  56  2184  1  1400  1  2  6  2  10  1  1  54  3528  1  1  1  1  5  6552  1  1064  1  2  6  64  1  11664  2  1  2  1  30  1  10  1  4  2  1  42  64  1  1  30  1  56  10  1  1  36  7  1  144  102  0 |
08 | 0  189  210  735  1  2  270  1  40  1  2  1  360  1  6  24  6  1  9180  1  1  153  1  1  97440  6  2  1  3808  5  1  1  11368  119  1  1  210  1  595  1  6  135  1  1  1  12  5278  1020  10  35  2  285243  609  1421  68  6  1  45  544  3132  4  1  8  1  16  2  4  1  8  1  6468  1  1  18  408  40  2  1  180  4  18  9  7168  6  1  1  240  6  1  1  1  75  2  1  588  24  8  1  0 |
09 | 0  2  1  21  72  7  18  2  1  4  40  2  18  1  2  12  1  2  6  32  8  27  1  4  1  1  140400  260  6480  1800  2  312  1  2  2  1  1  1  1  1  6  30  6  35280  2  104  4  1  6  1664  3  40749  2  1  1056  520  2  2  1  8  780  8  6  1  1040  1  4  1  1  20  1  4  3328  875  1  4  4  8  5  48  4  1  1  1  2  1  12  70  1  2  1  2  1  1  1  1  1  340  0 |
10 | 0  1  4  6  1  5  270  1  2  1  40  3  2  9  2  1  1  4  1  10  2  6  1  2  1  69300  2  40  1  440  1  1  462  1  1  1  2772  3  141588  1584  1  5236  10  5  29808  1  1144  17388  880  1  10  3128  4  5670  11  1  1  2  2640  66  2  2  880  429  2  1  4  11880  4  1  30  1  4  462  1  4  14256  3024  60  20  1  1  1540  60  1  200  2  2  3780  21  3  4  80  1  112  1  16  1  0 |
